Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695945080.3763826,938,85881,0,GPS1_Frame,42.33827333333333,-71.08553333333333,15.3,328195.2860382083,4689441.844033443,19,T
1695945081.4135935,939,85882,0,GPS1_Frame,42.33827333333333,-71.08553166666667,15.1,328195.4233427141,4689441.840665895,19,T
1695945082.3773909,940,85883,0,GPS1_Frame,42.33827333333333,-71.08553,15.0,328195.56064722413,4689441.837298349,19,T
1695945083.3773942,941,85884,0,GPS1_Frame,42.33827333333333,-71.08553,14.8,328195.56064722413,4689441.837298349,19,T
1695945084.415627,942,85885,0,GPS1_Frame,42.33827333333333,-71.08552833333333,14.7,328195.6979517341,4689441.833930804,19,T
1695945085.3764975,943,85886,0,GPS1_Frame,42.33827333333333,-71.08552833333333,14.6,328195.6979517341,4689441.833930804,19,T
1695945086.3783302,944,85887,0,GPS1_Frame,42.338271666666664,-71.08552666666667,14.5,328195.8307171878,4689441.645492639,19,T
1695945087.3774395,945,85888,0,GPS1_Frame,42.338271666666664,-71.08552666666667,14.4,328195.8307171878,4689441.645492639,19,T
1695945088.376637,946,85889,0,GPS1_Frame,42.338271666666664,-71.08552666666667,14.3,328195.8307171878,4689441.645492639,19,T
1695945089.3869982,947,85890,0,GPS1_Frame,42.338271666666664,-71.08552666666667,14.3,328195.8307171878,4689441.645492639,19,T
1695945090.377987,948,85891,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945091.377667,949,85892,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945092.3771615,950,85893,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945093.377111,951,85894,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945094.3803635,952,85895,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945095.3798795,953,85896,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945096.3797128,954,85897,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945097.3770952,955,85898,0,GPS1_Frame,42.33827,-71.08552666666667,14.2,328195.82617813384,4689441.460422017,19,T
1695945098.3753512,956,85899,0,GPS1_Frame,42.33827,-71.085525,14.1,328195.96348264895,4689441.457054478,19,T
1695945099.382486,957,85900,0,GPS1_Frame,42.33827,-71.085525,14.1,328195.96348264895,4689441.457054478,19,T
1695945100.415747,958,85901,0,GPS1_Frame,42.33827,-71.085525,14.1,328195.96348264895,4689441.457054478,19,T
1695945101.3794932,959,85902,0,GPS1_Frame,42.33827,-71.085525,14.1,328195.96348264895,4689441.457054478,19,T
1695945102.3766887,960,85903,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945103.3766494,961,85904,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945104.3799775,962,85905,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945105.3773115,963,85906,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945106.3806849,964,85907,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945107.3802192,965,85908,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945108.4185412,966,85909,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945109.4177556,967,85910,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945110.3805625,968,85911,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945111.3797522,969,85912,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945112.3796885,970,85913,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945113.3796377,971,85914,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945114.3805146,972,85915,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945115.3799992,973,85916,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945116.3798933,974,85917,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945117.4732554,975,85918,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945118.380514,976,85919,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945119.3810925,977,85920,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945120.3803992,978,85921,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945121.380176,979,85922,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945122.3808186,980,85923,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945123.3808296,981,85924,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945124.3803685,982,85925,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945125.3801003,983,85926,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945126.3818479,984,85927,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945127.381123,985,85928,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945128.3799608,986,85929,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945129.3800006,987,85930,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945130.3805003,988,85931,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945131.378487,989,85932,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945132.378897,990,85933,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945133.3806026,991,85934,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945134.3814828,992,85935,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945135.3816772,993,85936,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945136.380553,994,85937,0,GPS1_Frame,42.33826833333333,-71.085525,14.0,328195.95894359867,4689441.2719838545,19,T
1695945137.381637,995,85938,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945138.3785393,996,85939,0,GPS1_Frame,42.33826666666667,-71.085525,14.1,328195.9544045486,4689441.086913232,19,T
1695945139.384397,997,85940,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945140.3810098,998,85941,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945141.3802278,999,85942,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945142.38167,1000,85943,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
1695945143.3827245,1001,85944,0,GPS1_Frame,42.33826666666667,-71.085525,14.0,328195.9544045486,4689441.086913232,19,T
